[2020-04-14 15:53:03,970][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:09,127][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:14,146][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:19,165][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:24,184][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:29,203][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:34,221][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:39,245][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:44,266][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:53:54,159][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 14:55:36,709][WARN ][main] node {#transport#-1}{hOTCJyZDQOOf2CtPj-bF_A}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [docker-cluster], ignoring... (TransportClientNodesService.java:423)
[2020-04-15 14:55:37,937][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 14:56:24,488][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 15:06:53,449][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 15:19:44,456][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 17:47:52,131][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-15 17:48:25,815][WARN ][kafka-producer-network-thread | producer-1] [Producer clientId=producer-1] Error while fetching metadata with correlation id 1 : {search_data=LEADER_NOT_AVAILABLE} (NetworkClient.java:968)
[2020-04-15 17:48:25,931][WARN ][kafka-producer-network-thread | producer-1] [Producer clientId=producer-1] Error while fetching metadata with correlation id 3 : {search_data=LEADER_NOT_AVAILABLE} (NetworkClient.java:968)
[2020-04-15 17:48:26,042][WARN ][kafka-producer-network-thread | producer-1] [Producer clientId=producer-1] Error while fetching metadata with correlation id 4 : {search_data=LEADER_NOT_AVAILABLE} (NetworkClient.java:968)
[2020-04-15 17:48:26,150][WARN ][kafka-producer-network-thread | producer-1] [Producer clientId=producer-1] Error while fetching metadata with correlation id 5 : {search_data=LEADER_NOT_AVAILABLE} (NetworkClient.java:968)
